date,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,correct,pnl_bps
2024-10-02,1,1,-0.000747225307288879,-1,-0.000747225307288879,0.5883523442877756,0,-7.47225307288879
2024-10-03,1,1,0.011827953110282508,1,0.011827953110282508,0.6001802973980581,1,118.27953110282508
2024-10-04,-1,-1,-0.01076943697993471,-1,0.01076943697993471,0.6109497343779928,1,107.6943697993471
2024-10-07,1,1,0.014824170496229527,1,0.014824170496229527,0.6257739048742224,1,148.24170496229527
2024-10-08,1,1,0.007837631937984924,1,0.007837631937984924,0.6336115368122073,1,78.37631937984924
2024-10-09,-1,-1,-0.001136256241344391,-1,0.001136256241344391,0.6347477930535517,1,11.36256241344391
2024-10-10,1,1,0.0015618794107492562,1,0.0015618794107492562,0.6363096724643009,1,15.618794107492562
2024-10-11,1,1,0.008356551871862905,1,0.008356551871862905,0.6446662243361638,1,83.56551871862905
2024-10-14,-1,-1,-0.013456911401706684,-1,0.013456911401706684,0.6581231357378705,1,134.56911401706685
2024-10-15,-1,-1,0.00012219496767418292,1,-0.00012219496767418292,0.6580009407701963,0,-1.2219496767418292
2024-10-16,1,1,0.000692281484032442,1,0.000692281484032442,0.6586932222542288,1,6.9228148403244205
2024-10-17,1,1,0.006533285384507259,1,0.006533285384507259,0.665226507638736,1,65.33285384507259
2024-10-18,1,1,0.0019194856937634341,1,0.0019194856937634341,0.6671459933324995,1,19.19485693763434
2024-10-21,1,1,0.0010893935086091489,1,0.0010893935086091489,0.6682353868411086,1,10.893935086091489
2024-10-22,-1,-1,-0.015442519922977738,-1,0.015442519922977738,0.6836779067640864,1,154.42519922977738
2024-10-23,1,1,0.008076177791386918,1,0.008076177791386918,0.6917540845554733,1,80.76177791386918
2024-10-24,1,1,0.006075136285415894,1,0.006075136285415894,0.6978292208408892,1,60.75136285415894
2024-10-25,-1,-1,0.00016139103583245884,1,-0.00016139103583245884,0.6976678298050567,0,-1.6139103583245884
2024-10-28,-1,-1,0.009562551054070667,1,-0.009562551054070667,0.688105278750986,0,-95.62551054070667
2024-10-29,-1,-1,-0.007586243023930628,-1,0.007586243023930628,0.6956915217749167,1,75.86243023930628
2024-10-30,-1,-1,-0.025566823931121085,-1,0.025566823931121085,0.7212583457060378,1,255.66823931121087
2024-10-31,1,1,0.007371632680307272,1,0.007371632680307272,0.728629978386345,1,73.71632680307272
2024-11-01,-1,-1,-0.002917299284141528,-1,0.002917299284141528,0.7315472776704866,1,29.17299284141528
2024-11-04,-1,-1,0.01267607389277714,1,-0.01267607389277714,0.7188712037777094,0,-126.7607389277714
2024-11-05,-1,-1,0.026800914678070775,1,-0.026800914678070775,0.6920702890996386,0,-268.00914678070774
2024-11-06,-1,-1,0.015621576814495164,1,-0.015621576814495164,0.6764487122851435,0,-156.21576814495165
2024-11-07,-1,-1,0.0011677085238241958,1,-0.0011677085238241958,0.6752810037613193,0,-11.677085238241958
2024-11-08,-1,-1,-0.0005835042268529378,-1,0.0005835042268529378,0.6758645079881722,1,5.835042268529378
2024-11-11,-1,-1,-0.001811809514252083,-1,0.001811809514252083,0.6776763175024243,1,18.11809514252083
2024-11-12,-1,-1,-0.001287420809610751,-1,0.001287420809610751,0.678963738312035,1,12.874208096107509
2024-11-13,-1,-1,-0.006974013768930476,-1,0.006974013768930476,0.6859377520809655,1,69.74013768930476
2024-11-14,-1,-1,-0.02411438306345204,-1,0.02411438306345204,0.7100521351444176,1,241.14383063452038
2024-11-15,1,1,0.006923658907301622,1,0.006923658907301622,0.7169757940517192,1,69.23658907301622
